ID	DOCULECT	CONCEPT	GLOTTOCODE	CONCEPTICON_ID	VALUE	FORM	TOKENS	VARIANTS	SOURCE	COGID	LOAN	COGNACY
6	NorthMarquesan_38	Eight	nort2845	1705	va'u	va'u	v a ʔ u		POLLEX	618	False	3
301	Hawaiian_52	Eight	hawa1245	1705	walu	walu	w a l u		71458	618	False	3
537	Rarotongan_58	Eight	raro1241	1705	varu	varu	v a r u		POLLEX	618	False	3
843	Maori_85	Eight	maor1246	1705	waru	waru	w a r u		Biggs-85-2005	618	False	3
1071	Samoan_118	Eight	samo1305	1705	valu	valu	v a l u		Blust-118-2005	618	False	3
1363	Austral_128	Eight	aust1304	1705	vaʔu	vaʔu	v a ʔ u		Meyer-128-2005	618	False	3
1625	TongaTongaIslands_136	Eight	tong1325	1705	valu	valu	v a l u		117207	618	False	3
1852	Pukapuka_152	Eight	puka1242	1705	valu	valu	v a l u		Salisbury-152-2005	618	False	3
2665	Tahitian_173	Eight	tahi1242	1705	va'u	va'u	v a ʔ u	varu	Clark-173-2005	618	False	3
2900	RennellBellona_206	Eight	renn1242	1705	baŋgu	baŋgu	b a ŋ g u		POLLEX	618	False	3
3163	EastFutuna_210	Eight	east2447	1705	valu	valu	v a l u	valu	POLLEX	618	False	3
5586	Rapanui_264	Eight	rapa1244	1705	va'u	va'u	v a ʔ u		POLLEX	618	False	3
5845	VaeakauTaumako_375	Eight	pile1238	1705	valu	valu	v a l u		Hovdhaugen-375-2009	618	False	3
7202	Nukuria_1212	Eight	nuku1259	1705	varu	varu	v a r u		Davletshin-1212-2015	618	False	3
296	Hawaiian_52	Fifty	hawa1245	1717	kanalima	kanalima	k a n a l i m a		71458	615	False	
533	Rarotongan_58	Fifty	raro1241	1717	rima ngauru	rima ngauru	r i m a _ ŋ a u r u		POLLEX	1	False	1
838	Maori_85	Fifty	maor1246	1717	rima tekau	rima tekau	r i m a _ t e k a u		Biggs-85-2005	1355	False	
1066	Samoan_118	Fifty	samo1305	1717	limagafulu	limagafulu	l i m a g a f u l u		Blust-118-2005	1	False	1
1067	Samoan_118	Fifty	samo1305	1717	limasefulu	limasefulu	l i m a s e f u l u		Blust-118-2005	1	False	1, 7
1359	Austral_128	Fifty	aust1304	1717	pae ʔaʔuru	pae ʔaʔuru	p a e _ ʔ a ʔ u r u		Meyer-128-2005	1383	True	9
1621	TongaTongaIslands_136	Fifty	tong1325	1717	nimangofulu	nimangofulu	n i m a ŋ o f u l u		117207	1	False	1
1844	Pukapuka_152	Fifty	puka1242	1717	tinolima	tinolima	t i n o l i m a		Salisbury-152-2005	434	False	
1845	Pukapuka_152	Fifty	puka1242	1717	laulima	laulima	l a u l i m a		Salisbury-152-2005	280	False	13
1846	Pukapuka_152	Fifty	puka1242	1717	limangaulu	limangaulu	l i m a ŋ a u l u		Salisbury-152-2005	1	True	1
3159	EastFutuna_210	Fifty	east2447	1717	kaulima	kaulima	k a u l i m a		POLLEX	280	False	13
5840	VaeakauTaumako_375	Fifty	pile1238	1717	gatoaelima	gatoaelima	g a t o a e l i m a		Hovdhaugen-375-2009	999	False	
7198	Nukuria_1212	Fifty	nuku1259	1717	tipu rima	tipu rima	t i p u _ r i m a		Davletshin-1212-2015	1233	False	
9	NorthMarquesan_38	Five	nort2845	493	'ima	'ima	ʔ i m a		POLLEX	2	False	1
304	Hawaiian_52	Five	hawa1245	493	lima	lima	l i m a		71458	2	False	1
540	Rarotongan_58	Five	raro1241	493	rima	rima	r i m a		POLLEX	2	False	1
846	Maori_85	Five	maor1246	493	rima	rima	r i m a		Biggs-85-2005	2	False	1
1074	Samoan_118	Five	samo1305	493	lima	lima	l i m a		Blust-118-2005	2	False	1
1366	Austral_128	Five	aust1304	493	pae	pae	p a e		Meyer-128-2005	1384	True	9
1628	TongaTongaIslands_136	Five	tong1325	493	nima	nima	n i m a		117207	2	False	1
1855	Pukapuka_152	Five	puka1242	493	lima	lima	l i m a		Salisbury-152-2005	2	False	1
2668	Tahitian_173	Five	tahi1242	493	pae	pae	p a e		Clark-173-2005	1384	False	9
2669	Tahitian_173	Five	tahi1242	493	rima	rima	r i m a		Clark-173-2005	2	False	1
2903	RennellBellona_206	Five	renn1242	493	gima	gima	g i m a		POLLEX	2	False	1
3166	EastFutuna_210	Five	east2447	493	lima	lima	l i m a		POLLEX	2	False	1
5589	Rapanui_264	Five	rapa1244	493	rima	rima	r i m a		POLLEX	2	False	1
5848	VaeakauTaumako_375	Five	pile1238	493	lima	lima	l i m a		Hovdhaugen-375-2009	2	False	1
7205	Nukuria_1212	Five	nuku1259	493	rima	rima	r i m a		Davletshin-1212-2015	2	False	1
10	NorthMarquesan_38	Four	nort2845	1500	faa	faa	f aː		POLLEX	3	False	1,66
305	Hawaiian_52	Four	hawa1245	1500	hā	hā	h aː		71458	3	False	1,66
541	Rarotongan_58	Four	raro1241	1500	àa	àa	ʔ a a		POLLEX	3	False	1,66
847	Maori_85	Four	maor1246	1500	whaa	faː	f aː		Biggs-85-2005	3	False	1,66
1075	Samoan_118	Four	samo1305	1500	e fā	e fā	e _ f aː		Blust-118-2005	3	False	1,66
1367	Austral_128	Four	aust1304	1500	ʔa	ʔa	ʔ a	maʔa	Meyer-128-2005	3	False	1,66
1629	TongaTongaIslands_136	Four	tong1325	1500	fā	fā	f aː		117207	3	False	1,66
1856	Pukapuka_152	Four	puka1242	1500	wā	wā	w aː		Salisbury-152-2005	3	False	1,66
2670	Tahitian_173	Four	tahi1242	1500	maha	maha	m a h a		Clark-173-2005	3	False	1,66
2904	RennellBellona_206	Four	renn1242	1500	haa	haa	h aː		POLLEX	3	False	1,66
3167	EastFutuna_210	Four	east2447	1500	faa	faa	f aː		POLLEX	3	False	1,66
5590	Rapanui_264	Four	rapa1244	1500	ha	ha	h a	haa	POLLEX	3	False	1,66
5849	VaeakauTaumako_375	Four	pile1238	1500	haa	haa	h aː		Hovdhaugen-375-2009	3	False	1,66
7206	Nukuria_1212	Four	nuku1259	1500	haa	haa	h aː		Davletshin-1212-2015	3	False	1,66
33	NorthMarquesan_38	I	nort2845	1209	='u	='u	ʔ u		POLLEX	1462	False	x
34	NorthMarquesan_38	I	nort2845	1209	au	au	a u		POLLEX	4	False	1,21
328	Hawaiian_52	I	hawa1245	1209	['o] au	au	a u		71458	4	False	1,21
565	Rarotongan_58	I	raro1241	1209	-ku	-ku	k u		POLLEX	1462	False	x
566	Rarotongan_58	I	raro1241	1209	au	au	a u		POLLEX	4	False	1,21
871	Maori_85	I	maor1246	1209	au	au	a u		Biggs-85-2005	4	False	1,21
1100	Samoan_118	I	samo1305	1209	aʔu	aʔu	a ʔ u		Blust-118-2005	4	False	1,21
1393	Austral_128	I	aust1304	1209	au	au	a u		Meyer-128-2005	4	False	1,21
1394	Austral_128	I	aust1304	1209	vau	vau	v a u		Meyer-128-2005	4	False	1, 21, 18
1649	TongaTongaIslands_136	I	tong1325	1209	ou	ou	o u	au	117207	4	False	1,21
1890	Pukapuka_152	I	puka1242	1209	aku	aku	a k u	ēku	Salisbury-152-2005	1462	False	x
1891	Pukapuka_152	I	puka1242	1209	au	au	a u		Salisbury-152-2005	4	False	1,21
2694	Tahitian_173	I	tahi1242	1209	vau	vau	v a u		Clark-173-2005	4	False	1, 21, 18
2695	Tahitian_173	I	tahi1242	1209	au	au	a u		Clark-173-2005	4	False	1,21
2927	RennellBellona_206	I	renn1242	1209	-ku	-ku	k u		POLLEX	1462	False	x
2928	RennellBellona_206	I	renn1242	1209	kau	kau	k a u	au	POLLEX	4	True	1,21
3194	EastFutuna_210	I	east2447	1209	-ku	-ku	k u		POLLEX	1462	False	x
3195	EastFutuna_210	I	east2447	1209	kau	kau	k a u	au	POLLEX	4	False	1,21
5613	Rapanui_264	I	rapa1244	1209	au	au	a u		POLLEX	4	False	1,21
5876	VaeakauTaumako_375	I	pile1238	1209	au	au	a u	iau	Hovdhaugen-375-2009	4	False	1,21
7229	Nukuria_1212	I	nuku1259	1209	nau	nau	n a u		Davletshin-1212-2015	4	False	1, 22
