# Wordlist

# DATA
ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS
1598	Rapanui	Rapanui (Easter Island)	rapa1244	493	Five	rima	rima	POLLEX	130629	2			r i m a
1856	Mangareva	Mangareva	mang1401	493	Five	rima	rima	POLLEX	321425	2		rima	r i m a
3079	Sikaiana	Sikaiana	sika1261	493	Five	lima	lima	POLLEX	83781	2			l i m a
3300	North_Marquesan	Marquesan	nort2845	493	Five	'ima	'ima	POLLEX	83758	2			ʔ i m a
#
4399	Ra’ivavae	Ra'ivavae	aust1304	1500	Four	maha	maha	Tamaititahio-1213-2015	291333	3			m a h a
4596	Tuamotuan	Tuamotu	tuam1242	1500	Four	haa	haa	POLLEX	89925	3		faa	h aː
729	Maori	Maori	maor1246	1500	Four	whaa	faː	Biggs-85-2005	71128	3			f aː
5105	Rurutuan	Rurutuan	aust1304	1500	Four	ʔa	ʔa	Meyer-128-2005	83040	3		maʔa	ʔ a
1174	Tahitian	Tahitian (Modern)	tahi1242	1500	Four	maha	maha	Clark-173-2005	71216	3			m a h a
5618	Hawaiian	Hawaiian	hawa1245	1500	Four	hā	hā	71458	71095	3			h aː
1599	Rapanui	Rapanui (Easter Island)	rapa1244	1500	Four	ha	ha	POLLEX	133545	3		haa	h a
1857	Mangareva	Mangareva	mang1401	1500	Four	'a	'a	POLLEX	321435	3		à	ʔ a
3080	Sikaiana	Sikaiana	sika1261	1500	Four	hā	hā	POLLEX	145960	3			h aː
3301	North_Marquesan	Marquesan	nort2845	1500	Four	faa	faa	POLLEX	71081	3			f aː
#
4421	Ra’ivavae	Ra'ivavae	aust1304	1209	I	vau	vau	Tamaititahio-1213-2015	291317	4			v a u
4609	Tuamotuan	Tuamotu	tuam1242	1209	I	-ku	-ku	POLLEX	123681	1460			k u
4610	Tuamotuan	Tuamotu	tuam1242	1209	I	au	au	POLLEX	123680	4			a u
753	Maori	Maori	maor1246	1209	I	au	au	Biggs-85-2005	64702	4			a u
5131	Rurutuan	Rurutuan	aust1304	1209	I	au	au	Meyer-128-2005	81790	4			a u
5132	Rurutuan	Rurutuan	aust1304	1209	I	vau	vau	Meyer-128-2005	81789	4			v a u
1198	Tahitian	Tahitian (Modern)	tahi1242	1209	I	vau	vau	Clark-173-2005	81800	4			v a u
1199	Tahitian	Tahitian (Modern)	tahi1242	1209	I	au	au	Clark-173-2005	81799	4			a u
5641	Hawaiian	Hawaiian	hawa1245	1209	I	['o] au	au	71458	64669	4			a u
1622	Rapanui	Rapanui (Easter Island)	rapa1244	1209	I	au	au	POLLEX	133553	4			a u
1877	Mangareva	Mangareva	mang1401	1209	I	au	au	POLLEX	321566	4			a u
3103	Sikaiana	Sikaiana	sika1261	1209	I	n/au/	au	POLLEX	64860	4			a u
3324	North_Marquesan	Marquesan	nort2845	1209	I	='u	='u	POLLEX	123646	1460			ʔ u
3325	North_Marquesan	Marquesan	nort2845	1209	I	au	au	POLLEX	123645	4			a u
#
4394	Ra’ivavae	Ra'ivavae	aust1304	1483	Nine	iva	iva	Tamaititahio-1213-2015	291338	945			i v a
4591	Tuamotuan	Tuamotu	tuam1242	1483	Nine	iva	iva	POLLEX	83557	945			i v a
724	Maori	Maori	maor1246	1483	Nine	iwa	iwa	Biggs-85-2005	83539	945			i w a
5100	Rurutuan	Rurutuan	aust1304	1483	Nine	iva	iva	Meyer-128-2005	165161	945			i v a
1168	Tahitian	Tahitian (Modern)	tahi1242	1483	Nine	iva	iva	Clark-173-2005	83546	945			i v a
5613	Hawaiian	Hawaiian	hawa1245	1483	Nine	iwa	iwa	71458	83536	945			i w a
1594	Rapanui	Rapanui (Easter Island)	rapa1244	1483	Nine	iva	iva	POLLEX	133562	945		iba	i v a
1852	Mangareva	Mangareva	mang1401	1483	Nine	iva	iva	POLLEX	321428	945			i v a
3075	Sikaiana	Sikaiana	sika1261	1483	Nine	sivo	sivo	POLLEX	83554	945			s i v o
3296	North_Marquesan	Marquesan	nort2845	1483	Nine	iva	iva	POLLEX	83535	945			i v a
#
4402	Ra’ivavae	Ra'ivavae	aust1304	1493	One	hoʔe	hoʔe	Tamaititahio-1213-2015	291330	373			h o ʔ e
4599	Tuamotuan	Tuamotu	tuam1242	1493	One	tahi	tahi	POLLEX	70218	335			t a h i
732	Maori	Maori	maor1246	1493	One	tahi	tahi	Biggs-85-2005	70057	335			t a h i
5109	Rurutuan	Rurutuan	aust1304	1493	One	taʔi	taʔi	Meyer-128-2005	70100	335			t a ʔ i
1177	Tahitian	Tahitian (Modern)	tahi1242	1493	One	ho'e	ho'e	Clark-173-2005	291471	373		hoo'ee	h o ʔ e
1178	Tahitian	Tahitian (Modern)	tahi1242	1493	One	tahi	tahi	Clark-173-2005	82829	335			t a h i
5621	Hawaiian	Hawaiian	hawa1245	1493	One	'ekahi	'ekahi	71458	173586	335		kahi	ʔ e k a h i
1602	Rapanui	Rapanui (Easter Island)	rapa1244	1493	One	tahi	tahi	POLLEX	70236	335			t a h i
1860	Mangareva	Mangareva	mang1401	1493	One	ta'i	ta'i	POLLEX	321438	335		e/taì	t a ʔ i
3083	Sikaiana	Sikaiana	sika1261	1493	One	tasi	tasi	POLLEX	123404	335		tahi	t a s i
3304	North_Marquesan	Marquesan	nort2845	1493	One	tahi	tahi	POLLEX	70010	335			t a h i
#
4390	Ra’ivavae	Ra'ivavae	aust1304	1634	One Hundred	Gau	Gau	Tamaititahio-1213-2015	291342	518			ɢ a u
4589	Tuamotuan	Tuamotu	tuam1242	1634	One Hundred	rau	rau	POLLEX	83369	518			r a u
719	Maori	Maori	maor1246	1634	One Hundred	rau	rau	Biggs-85-2005	83354	518			r a u
5096	Rurutuan	Rurutuan	aust1304	1634	One Hundred	ʔaanere	ʔaanere	Meyer-128-2005	165156	186			ʔ aː n e r e
1163	Tahitian	Tahitian (Modern)	tahi1242	1634	One Hundred	haanere	haanere	Clark-173-2005	102831	186			h aː n e r e
1164	Tahitian	Tahitian (Modern)	tahi1242	1634	One Hundred	rau	rau	Clark-173-2005	83359	518			r a u
5608	Hawaiian	Hawaiian	hawa1245	1634	One Hundred	hanele	hanele	71458	251533	186			h a n e l e
1591	Rapanui	Rapanui (Easter Island)	rapa1244	1634	One Hundred	rau	rau	POLLEX	83373	518			r a u
1848	Mangareva	Mangareva	mang1401	1634	One Hundred	rau	rau	POLLEX	321433	518		rau	r a u
3073	Sikaiana	Sikaiana	sika1261	1634	One Hundred	lau	lau	POLLEX	83367	518			l a u
3292	North_Marquesan	Marquesan	nort2845	1634	One Hundred	'au	'au	POLLEX	83352	518			ʔ a u
#
4388	Ra’ivavae	Ra'ivavae	aust1304	1843	One Thousand	mano	mano	Tamaititahio-1213-2015	291355	519			m a n o
4389	Ra’ivavae	Ra'ivavae	aust1304	1843	One Thousand	tauatini	tauatini	Tamaititahio-1213-2015	291354	187			t a u a t i n i
4588	Tuamotuan	Tuamotu	tuam1242	1843	One Thousand	mano	mano	POLLEX	83336	519			m a n o
718	Maori	Maori	maor1246	1843	One Thousand	mano	mano	Biggs-85-2005	83320	519			m a n o
5095	Rurutuan	Rurutuan	aust1304	1843	One Thousand	tauatini	tauatini	Meyer-128-2005	165155	187			t a u a t i n i
1161	Tahitian	Tahitian (Modern)	tahi1242	1843	One Thousand	tauatini	tauatini	Clark-173-2005	102832	187			t a u a t i n i
1162	Tahitian	Tahitian (Modern)	tahi1242	1843	One Thousand	mano	mano	Clark-173-2005	83327	519			m a n o
5607	Hawaiian	Hawaiian	hawa1245	1843	One Thousand	kaukani	kaukani	71458	251532	187			k a u k a n i
1589	Rapanui	Rapanui (Easter Island)	rapa1244	1843	One Thousand	piere	piere	POLLEX	133596	396			p i e r e
1590	Rapanui	Rapanui (Easter Island)	rapa1244	1843	One Thousand	mano	mano	POLLEX	83339	519			m a n o
1847	Mangareva	Mangareva	mang1401	1843	One Thousand	mano	mano	POLLEX	321434	519		mano	m a n o
3072	Sikaiana	Sikaiana	sika1261	1843	One Thousand	mano	mano	POLLEX	83334	519			m a n o
#
4396	Ra’ivavae	Ra'ivavae	aust1304	1704	Seven	hitu	hitu	Tamaititahio-1213-2015	291336	6			h i t u
4593	Tuamotuan	Tuamotu	tuam1242	1704	Seven	hitu	hitu	POLLEX	83686	6			h i t u
726	Maori	Maori	maor1246	1704	Seven	whitu	fitu	Biggs-85-2005	83664	6			f i t u
5102	Rurutuan	Rurutuan	aust1304	1704	Seven	ʔitu	ʔitu	Meyer-128-2005	165163	6			ʔ i t u
1170	Tahitian	Tahitian (Modern)	tahi1242	1704	Seven	hitu	hitu	Clark-173-2005	83672	6			h i t u
5615	Hawaiian	Hawaiian	hawa1245	1704	Seven	hiku	hiku	71458	83661	6			h i k u
1596	Rapanui	Rapanui (Easter Island)	rapa1244	1704	Seven	hitu	hitu	POLLEX	83691	6			h i t u
1854	Mangareva	Mangareva	mang1401	1704	Seven	'itu	'itu	POLLEX	321424	6		'itu	ʔ i t u
3077	Sikaiana	Sikaiana	sika1261	1704	Seven	hitu	hitu	POLLEX	83683	6			h i t u
3298	North_Marquesan	Marquesan	nort2845	1704	Seven	fitu	fitu	POLLEX	83660	6			f i t u
#
4397	Ra’ivavae	Ra'ivavae	aust1304	1703	Six	ono	ono	Tamaititahio-1213-2015	291335	7			o n o
4594	Tuamotuan	Tuamotu	tuam1242	1703	Six	fene	fene	POLLEX	135643	604			f e n e
727	Maori	Maori	maor1246	1703	Six	ono	ono	Biggs-85-2005	83729	7			o n o
5103	Rurutuan	Rurutuan	aust1304	1703	Six	ono	ono	Meyer-128-2005	165164	7			o n o
1171	Tahitian	Tahitian (Modern)	tahi1242	1703	Six	ono	ono	Clark-173-2005	102828	7			o n o
5616	Hawaiian	Hawaiian	hawa1245	1703	Six	'eono	'eono	71458	123836	7			ʔ e o n o
1597	Rapanui	Rapanui (Easter Island)	rapa1244	1703	Six	ono	ono	POLLEX	130628	7			o n o
1855	Mangareva	Mangareva	mang1401	1703	Six	ono	ono	POLLEX	321426	7			o n o
3078	Sikaiana	Sikaiana	sika1261	1703	Six	ono	ono	POLLEX	145961	7			o n o
3299	North_Marquesan	Marquesan	nort2845	1703	Six	ono	ono	POLLEX	90479	7			o n o
#
4393	Ra’ivavae	Ra'ivavae	aust1304	1515	Ten	ʔahuGu	ʔahuGu	Tamaititahio-1213-2015	291339	946			ʔ a h u ɢ u
4590	Tuamotuan	Tuamotu	tuam1242	1515	Ten	ŋahuru	ŋahuru	POLLEX	83446	946			ŋ a h u r u
722	Maori	Maori	maor1246	1515	Ten	tekau	tekau	Biggs-85-2005	87873	691			t e k a u
723	Maori	Maori	maor1246	1515	Ten	hangahuru	hangahuru	Biggs-85-2005	83453	946		ngahuru	h a ŋ a h u r u
5099	Rurutuan	Rurutuan	aust1304	1515	Ten	ʔaʔuru	ʔaʔuru	Meyer-128-2005	165160	946			ʔ a ʔ u r u
1167	Tahitian	Tahitian (Modern)	tahi1242	1515	Ten	'ahuru	'ahuru	Clark-173-2005	92202	946		'ahuru // 'afulu	ʔ a h u r u
5611	Hawaiian	Hawaiian	hawa1245	1515	Ten	'umi	'umi	71458	153109	1461			ʔ u m i
5612	Hawaiian	Hawaiian	hawa1245	1515	Ten	anahulu	anahulu	71458	83428	946			a n a h u l u
1592	Rapanui	Rapanui (Easter Island)	rapa1244	1515	Ten	kauatu	kauatu	POLLEX	133589	691			k a u a t u
1593	Rapanui	Rapanui (Easter Island)	rapa1244	1515	Ten	aŋahuru	aŋahuru	POLLEX	83450	946			a ŋ a h u r u
1851	Mangareva	Mangareva	mang1401	1515	Ten	rongo'uru	rongo'uru	POLLEX	321429	946			r o ŋ o ʔ u r u
3074	Sikaiana	Sikaiana	sika1261	1515	Ten	sehui	sehui	POLLEX	145965	690			s e h u i
3294	North_Marquesan	Marquesan	nort2845	1515	Ten	'okohu'u	'okohu'u	POLLEX	83452	946			ʔ o k o h u ʔ u
3295	North_Marquesan	Marquesan	nort2845	1515	Ten	'onohu'u	'onohu'u	POLLEX	83426	946			ʔ o n o h u ʔ u
#
4400	Ra’ivavae	Ra'ivavae	aust1304	492	Three	toGu	toGu	Tamaititahio-1213-2015	291332	8			t o ɢ u
4597	Tuamotuan	Tuamotu	tuam1242	492	Three	toru	toru	POLLEX	70932	8			t o r u
730	Maori	Maori	maor1246	492	Three	toru	toru	Biggs-85-2005	70771	8			t o r u
5106	Rurutuan	Rurutuan	aust1304	492	Three	toru	toru	Meyer-128-2005	70814	8			t o r u
1175	Tahitian	Tahitian (Modern)	tahi1242	492	Three	toru	toru	Clark-173-2005	70859	8			t o r u
