ID	DOCULECT	DOCULECT_NAME_IN_SOURCE	CONCEPT	GLOTTOCODE	VALUE	CONCEPTICON_ID	LANGID	GLOSSID	ISO	SOURCE	COMMENT	COGNACY	LOAN	LEXIBANK_ID	FORM	SEGMENTS	BVD_ID	VARIANTS	COG	COGID	CVCV
3591	EastFutuna_210	Futuna, East	Eight	east2447	valu	1705	210	204	fud	POLLEX		3	False	abvd-abvd-210-336	valu	v a l u	90900	valu	3---Eight	663	cvcv
3897	Pukapuka_152	Pukapuka	Eight	puka1242	valu	1705	152	204	pkp	Salisbury-152-2005		3	False	abvd-abvd-152-374	valu	v a l u	89951		3---Eight	663	cvcv
4201	Mele-Fila_1163	Fila	Eight	mele1250	eβaru	1705	1163	204	mxe	52375		3	False	abvd-abvd-1163-187	eβaru	β a r u	265932		3---Eight	663	vcvcv
4395	Austral_1213	Ra'ivavae	Eight	aust1304	vaGu	1705	1213	204	aut	Tamaititahio-1213-2015		3	False	abvd-abvd-1213-193	vaGu	v a ɢ u	291337		3---Eight	663	cvcv
4592	Tuamotuan_246	Tuamotu	Eight	tuam1242	varu	1705	246	204	pmt	POLLEX	Pollex 06: Varu. :Eight.	3	False	abvd-abvd-246-285	varu	v a r u	90908		3---Eight	663	cvcv
4855	Niuean_247	Niue	Eight	niue1239	valu	1705	247	204	niu	POLLEX	Pollex 06: Valu. :Eight.	3	False	abvd-abvd-247-276	valu	v a l u	90493		3---Eight	663	cvcv
5101	Austral_128	Rurutuan	Eight	aust1304	vaʔu	1705	128	204	aut	Meyer-128-2005		3	False	abvd-abvd-128-276	vaʔu	v a ʔ u	165162		3---Eight	663	cvcv
5359	FutunaAniwa_156	Futuna-Aniwa	Eight	futu1245	varu	1705	156	204	fut	POLLEX	Pollex 06: Varu. :Eight.	3	False	abvd-abvd-156-313	varu	v a r u	90950		3---Eight	663	cvcv
5614	Hawaiian_52	Hawaiian	Eight	hawa1245	walu	1705	52	204	haw	71458	Pollex 06: Walu. :Eight.	3	False	abvd-abvd-52-239	walu	w a l u	90441		3---Eight	663	cvcv
5850	Rarotongan_58	Rarotongan	Eight	raro1241	varu	1705	58	204	rar	POLLEX	Pollex 06: Varu. :Eight.	3	False	abvd-abvd-58-348	varu	v a r u	90596		3---Eight	663	cvcv
6152	Penrhyn_235	Penrhyn	Eight	penr1237	varu	1705	235	204	pnh	POLLEX	Pollex 06: Varu. :Eight	3	False	abvd-abvd-235-210	varu	v a r u	90594		3---Eight	663	cvcv
6362	Nukuria_1212	Nukeria	Eight	nuku1259	varu	1705	1212	204	nur	Davletshin-1212-2015		3	False	abvd-abvd-1212-281	varu	v a r u	290908		3---Eight	663	cvcv
6623	Samoan_118	Samoan	Eight	samo1305	valu	1705	118	204	smo	Blust-118-2005	POllex 06: Valu. :Eight.	3	False	abvd-abvd-118-300	valu	v a l u	90598		3---Eight	663	cvcv
6914	RennellBellona_206	Rennellese	Eight	renn1242	baŋgu	1705	206	204	mnv	POLLEX	eight	3	False	abvd-abvd-206-270	baŋgu	b a ŋg u	146566		3---Eight	663	cvccv
7179	Tuvalu_753	Nanumea	Eight	tuva1244	valu	1705	753	204	tvl	29903		3	False	abvd-abvd-753-278	valu	v a l u	192222		3---Eight	663	cvcv
7435	Anuta_253	Anuta	Eight	anut1237	varu	1705	253	204	aud	POLLEX	eight	3	False	abvd-abvd-253-238	varu	v a r u	146316		3---Eight	663	cvcv
3	VaeakauTaumako_375	Vaeakau-Taumako	Fifty	pile1238	gatoaelima	1717	375	208	piv	Hovdhaugen-375-2009			False	abvd-abvd-375-260	gatoaelima	g a + t o a + e + l i m a	89604		3---Fifty	664	cvcvvvcvcv
720	Maori_85	Maori	Fifty	maor1246	rima tekau	1717	85	208	mri	Biggs-85-2005			False	abvd-abvd-85-228	rima tekau	r i m a _ t e + k a u	118270		720---Fifty	1257	cvcv_cvcvv
1849	Mangareva_239	Mangareva	Fifty	mang1401	rima rongo'uru	1717	239	208	mrv	POLLEX		1	False	abvd-abvd-239-366	rima rongo'uru	r i m a _ r o ŋ o + ʔ u r u	321431		1---Fifty	1	cvcv_cvcvcvcv
2332	TongaTongaIslands_136	Tongan	Fifty	tong1325	nimangofulu	1717	136	208	ton	117207		1	False	abvd-abvd-136-223	nimangofulu	n i m a _ ŋ o + f u l u	242246		1---Fifty	1	cvcvcvcvcv
3587	EastFutuna_210	Futuna, East	Fifty	east2447	kaulima	1717	210	208	fud	POLLEX		13	False	abvd-abvd-210-340	kaulima	k a u + l i m a	90902		13---Fifty	292	cvvcvcv
3889	Pukapuka_152	Pukapuka	Fifty	puka1242	tinolima	1717	152	208	pkp	Salisbury-152-2005	50 people		False	abvd-abvd-152-382	tinolima	t i n o _ l i m a	90183		3889---Fifty	779	cvcvcvcv
3890	Pukapuka_152	Pukapuka	Fifty	puka1242	laulima	1717	152	208	pkp	Salisbury-152-2005	traditional	13	False	abvd-abvd-152-381	laulima	l a u + l i m a	90182		13---Fifty	292	cvvcvcv
3891	Pukapuka_152	Pukapuka	Fifty	puka1242	limangaulu	1717	152	208	pkp	Salisbury-152-2005	(Raro.)	1	True	abvd-abvd-152-380	limangaulu	l i m a _ ŋ a + u l u	90181		1---Fifty	1	cvcvcvvcv
4391	Austral_1213	Ra'ivavae	Fifty	aust1304	pae ʔahuGu	1717	1213	208	aut	Tamaititahio-1213-2015	Likely a Tahitian borrowing	9	True	abvd-abvd-1213-197	pae ʔahuGu	p a e _ ʔ a + h u ɢ u	291341		9---Fifty	1380	cvv_cvcvcv
4851	Niuean_247	Niue	Fifty	niue1239	lima fiha	1717	247	208	niu	POLLEX			False	abvd-abvd-247-280	lima fiha	l i m a _ f i h a	116394		4851---Fifty	932	cvcv_cvcv
5097	Austral_128	Rurutuan	Fifty	aust1304	pae ʔaʔuru	1717	128	208	aut	Meyer-128-2005	Tahitian loan with hyper-nativization	9	True	abvd-abvd-128-280	pae ʔaʔuru	p a e _ ʔ a + ʔ u r u	165158		9---Fifty	1380	cvv_cvcvcv
5609	Hawaiian_52	Hawaiian	Fifty	hawa1245	kanalima	1717	52	208	haw	71458			False	abvd-abvd-52-244	kanalima	k a n a + l i m a	251534		5609---Fifty	1034	cvcvcvcv
5846	Rarotongan_58	Rarotongan	Fifty	raro1241	rima ngauru	1717	58	208	rar	POLLEX		1	False	abvd-abvd-58-352	rima ngauru	r i m a _ ŋ a + u r u	111861		1---Fifty	1	cvcv_cvvcv
6358	Nukuria_1212	Nukeria	Fifty	nuku1259	tipu rima	1717	1212	208	nur	Davletshin-1212-2015			False	abvd-abvd-1212-286	tipu rima	t i p u _ r i m a	290900		6358---Fifty	1133	cvcv_cvcv
6618	Samoan_118	Samoan	Fifty	samo1305	limagafulu	1717	118	208	smo	Blust-118-2005		1	False	abvd-abvd-118-306	limagafulu	l i m a _ g a + f u l u	153215		1---Fifty	1	cvcvcvcvcv
6619	Samoan_118	Samoan	Fifty	samo1305	limasefulu	1717	118	208	smo	Blust-118-2005		1, 7	False	abvd-abvd-118-305	limasefulu	l i m a _ s e + f u l u	153214		1---Fifty	1	cvcvcvcvcv
11	VaeakauTaumako_375	Vaeakau-Taumako	Five	pile1238	lima	493	375	201	piv	Hovdhaugen-375-2009		1	False	abvd-abvd-375-252	lima	l i m a	89597		1---Five	2	cvcv
254	Wallisian_258	Uvea, East	Five	wall1257	nima	493	258	201	wls	POLLEX	Main, bras, cinq (Rch)[>].(Source: Pollex), Loan (Pawley 2010)	1	True	abvd-abvd-258-286	nima	n i m a	83786		1---Five	2	cvcv
511	Polynesian_658	Proto-Polynesian	Five	poly1242	*lima	493	658	201		PawleyOC		1	False	abvd-abvd-658-222	*lima	l i m a	169875		1---Five	2	cvcv
728	Maori_85	Maori	Five	maor1246	rima	493	85	201	mri	Biggs-85-2005	Five.(Source: Pollex)	1	False	abvd-abvd-85-219	rima	r i m a	83762		1---Five	2	cvcv
951	Kapingamarangi_217	Kapingamarangi	Five	kapi1249	lima	493	217	201	kpg	POLLEX	Five, hand n (Ebt).(Source: Pollex 2006)	1	False	abvd-abvd-217-269	lima	l i m a	89916	rima	1---Five	2	cvcv
1172	Tahitian_173	Tahitian (Modern)	Five	tahi1242	pae	493	173	201	tah	Clark-173-2005	Tahitian Innovation	9	False	abvd-abvd-173-235	pae	p a e	102827		9---Five	1381	cvv
1173	Tahitian_173	Tahitian (Modern)	Five	tahi1242	rima	493	173	201	tah	Clark-173-2005	Five, hand.(Source: Pollex)	1	False	abvd-abvd-173-234	rima	r i m a	83770		1---Five	2	cvcv
1404	Emae_1030	Emae (Makatea)	Five	emae1237	rima	493	1030	201	mmw	52375		1	False	abvd-abvd-1030-187	rima	r i m a	265399		1---Five	2	cvcv
1598	Rapanui_264	Rapanui (Easter Island)	Five	rapa1244	rima	493	264	201	rap	POLLEX		1	False	abvd-abvd-264-314	rima	r i m a	130629		1---Five	2	cvcv
1856	Mangareva_239	Mangareva	Five	mang1401	rima	493	239	201	mrv	POLLEX		1	False	abvd-abvd-239-358	rima	r i m a	321425	rima	1---Five	2	cvcv
2117	Luangiua_238	Luangiua	Five	onto1237	lima	493	238	201	ojv	POLLEX	Five, hand-arm.(Source: Pollex)	1	False	abvd-abvd-238-222	lima	l i m a	83778		1---Five	2	cvcv
2339	TongaTongaIslands_136	Tongan	Five	tong1325	nima	493	136	201	ton	117207	Five, hand.(Source: Pollex)	1	False	abvd-abvd-136-216	nima	n i m a	83767		1---Five	2	cvcv
2553	RakahangaManihiki_589	Manihiki	Five	raka1237	taapahi	493	589	201	rkh	Clark-589-2008		9?	False	abvd-abvd-589-301	taapahi	t aː + p a h i	153556		9?---Five	1445	cvcvcv
2554	RakahangaManihiki_589	Manihiki	Five	raka1237	lima	493	589	201	rkh	Clark-589-2008		1	False	abvd-abvd-589-300	lima	l i m a	153555		1---Five	2	cvcv
2826	Tikopia_155	Tikopia	Five	tiko1237	rima	493	155	201	tkp	POLLEX	Five, hand, arm, wrist (Fth).(Source: Pollex)	1	False	abvd-abvd-155-266	rima	r i m a	83768		1---Five	2	cvcv
3079	Sikaiana_243	Sikaiana	Five	sika1261	lima	493	243	201	sky	POLLEX	Five, hand-arm.(Source: Pollex)	1	False	abvd-abvd-243-232	lima	l i m a	83781		1---Five	2	cvcv
3300	NorthMarquesan_38	Marquesan	Five	nort2845	'ima	493	38	201	mrq	POLLEX	Five, hand.(Source: Pollex)	1	False	abvd-abvd-38-373	'ima	ʔ i m a	83758		1---Five	2	cvcv
3594	EastFutuna_210	Futuna, East	Five	east2447	lima	493	210	201	fud	POLLEX	Five, hand.(Source: Pollex)	1	False	abvd-abvd-210-332	lima	l i m a	83772		1---Five	2	cvcv
3900	Pukapuka_152	Pukapuka	Five	puka1242	lima	493	152	201	pkp	Salisbury-152-2005		1	False	abvd-abvd-152-371	lima	l i m a	89950		1---Five	2	cvcv
4204	Mele-Fila_1163	Fila	Five	mele1250	e-rima	493	1163	201	mxe	52375		1	False	abvd-abvd-1163-184	e-rima	e + r i m a	265409		1---Five	2	v+cvcv
4398	Austral_1213	Ra'ivavae	Five	aust1304	pae	493	1213	201	aut	Tamaititahio-1213-2015	Likely a Tahitian borrowing	9	True	abvd-abvd-1213-190	pae	p a e	291334		9---Five	1381	cvv
4595	Tuamotuan_246	Tuamotu	Five	tuam1242	rima	493	246	201	pmt	POLLEX	Five, hand.(Source: Pollex)	1	False	abvd-abvd-246-282	rima	r i m a	83783		1---Five	2	cvcv
4858	Niuean_247	Niue	Five	niue1239	lima	493	247	201	niu	POLLEX	Five, hand.(Source: Pollex)	1	False	abvd-abvd-247-273	lima	l i m a	83784		1---Five	2	cvcv
5104	Austral_128	Rurutuan	Five	aust1304	pae	493	128	201	aut	Meyer-128-2005	Tahitian Borrowing	9	True	abvd-abvd-128-273	pae	p a e	165165		9---Five	1381	cvv
5361	FutunaAniwa_156	Futuna-Aniwa	Five	futu1245	rima	493	156	201	fut	POLLEX	Five, hand-arm.(Source: Pollex)	1	False	abvd-abvd-156-311	rima	r i m a	83788		1---Five	2	cvcv
5617	Hawaiian_52	Hawaiian	Five	hawa1245	lima	493	52	201	haw	71458	Five, hand.(Source: Pollex)	1	False	abvd-abvd-52-236	lima	l i m a	83759		1---Five	2	cvcv
5853	Rarotongan_58	Rarotongan	Five	raro1241	rima	493	58	201	rar	POLLEX	Five, hand.(Source: Pollex)	1	False	abvd-abvd-58-344	rima	r i m a	83760		1---Five	2	cvcv
6155	Penrhyn_235	Penrhyn	Five	penr1237	rima	493	235	201	pnh	POLLEX	Five, hand-arm.(Source: Pollex)	1	False	abvd-abvd-235-207	rima	r i m a	83777		1---Five	2	cvcv
6365	Nukuria_1212	Nukeria	Five	nuku1259	rima	493	1212	201	nur	Davletshin-1212-2015		1	False	abvd-abvd-1212-278	rima	r i m a	290905		1---Five	2	cvcv
6626	Samoan_118	Samoan	Five	samo1305	lima	493	118	201	smo	Blust-118-2005	Five, hand.(Source: Pollex)	1	False	abvd-abvd-118-297	lima	l i m a	83766		1---Five	2	cvcv
6917	RennellBellona_206	Rennellese	Five	renn1242	gima	493	206	201	mnv	POLLEX	Hand, arm, five (Ebt).(Source: Pollex)	1	False	abvd-abvd-206-267	gima	g i m a	83771		1---Five	2	cvcv
7181	Tuvalu_753	Nanumea	Five	tuva1244	lima	493	753	201	tvl	29903		1	False	abvd-abvd-753-276	lima	l i m a	192220		1---Five	2	cvcv
7438	Anuta_253	Anuta	Five	anut1237	nima	493	253	201	aud	POLLEX	Five, hand-arm (Fbg) B.[>].(Source: Pollex)	1	True	abvd-abvd-253-235	nima	n i m a	83785		1---Five	2	cvcv
12	VaeakauTaumako_375	Vaeakau-Taumako	Four	pile1238	haa	1500	375	200	piv	Hovdhaugen-375-2009		1,66	False	abvd-abvd-375-251	haa	h aː	89596		1---Four	3	cv
255	Wallisian_258	Uvea, East	Four	wall1257	faa	1500	258	200	wls	POLLEX	Four	1,66	False	abvd-abvd-258-285	faa	f aː	71301		1---Four	3	cv
512	Polynesian_658	Proto-Polynesian	Four	poly1242	*faa	1500	658	200		PawleyOC		1,66	False	abvd-abvd-658-221	*faa	f aː	169874		1---Four	3	cv
729	Maori_85	Maori	Four	maor1246	whaa	1500	85	200	mri	Biggs-85-2005		1,66	False	abvd-abvd-85-218	faː	f aː	71128		1---Four	3	cv
952	Kapingamarangi_217	Kapingamarangi	Four	kapi1249	haa	1500	217	200	kpg	POLLEX	Four (Lbr)	1,66	False	abvd-abvd-217-267	haa	h aː	71260		1---Four	3	cv
1174	Tahitian_173	Tahitian (Modern)	Four	tahi1242	maha	1500	173	200	tah	Clark-173-2005		1,66	False	abvd-abvd-173-233	maha	m a + h a	71216		1---Four	3	cvcv
1405	Emae_1030	Emae (Makatea)	Four	emae1237	fa	1500	1030	200	mmw	52375		1,66	False	abvd-abvd-1030-186	fa	f a	265221		1---Four	3	cv
1599	Rapanui_264	Rapanui (Easter Island)	Four	rapa1244	ha	1500	264	200	rap	POLLEX		1,66	False	abvd-abvd-264-313	ha	h a	133545	haa	1---Four	3	cv
1857	Mangareva_239	Mangareva	Four	mang1401	'a	1500	239	200	mrv	POLLEX		1,66	False	abvd-abvd-239-356	'a	ʔ a	321435	à	1---Four	3	cv
2118	Luangiua_238	Luangiua	Four	onto1237	hā	1500	238	200	ojv	POLLEX	four	1,66	False	abvd-abvd-238-221	hā	h aː	146604		1---Four	3	cv
2340	TongaTongaIslands_136	Tongan	Four	tong1325	fā	1500	136	200	ton	117207		1,66	False	abvd-abvd-136-215	fā	f aː	71179		1---Four	3	cv
2555	RakahangaManihiki_589	Manihiki	Four	raka1237	faa	1500	589	200	rkh	Clark-589-2008		1,66	False	abvd-abvd-589-299	faa	f aː	153390		1---Four	3	cv
2827	Tikopia_155	Tikopia	Four	tiko1237	faa	1500	155	200	tkp	POLLEX	Four (Fth)	1,66	False	abvd-abvd-155-265	faa	f aː	71198		1---Four	3	cv
3080	Sikaiana_243	Sikaiana	Four	sika1261	hā	1500	243	200	sky	POLLEX	four	1,66	False	abvd-abvd-243-231	hā	h aː	145960		1---Four	3	cv
3301	NorthMarquesan_38	Marquesan	Four	nort2845	faa	1500	38	200	mrq	POLLEX	Four	1,66	False	abvd-abvd-38-372	faa	f aː	71081		1---Four	3	cv
3595	EastFutuna_210	Futuna, East	Four	east2447	faa	1500	210	200	fud	POLLEX	Four	1,66	False	abvd-abvd-210-331	faa	f aː	71253		1---Four	3	cv
3901	Pukapuka_152	Pukapuka	Four	puka1242	wā	1500	152	200	pkp	Salisbury-152-2005		1,66	False	abvd-abvd-152-370	wā	w aː	71195		1---Four	3	cv
4205	Mele-Fila_1163	Fila	Four	mele1250	e-fa	1500	1163	200	mxe	52375		1,66	False	abvd-abvd-1163-183	e-fa	e + f a	265231		1---Four	3	v+cv
4399	Austral_1213	Ra'ivavae	Four	aust1304	maha	1500	1213	200	aut	Tamaititahio-1213-2015		1,66	True	abvd-abvd-1213-189	maha	m a + h a	291333		1---Four	3	cvcv
4596	Tuamotuan_246	Tuamotu	Four	tuam1242	haa	1500	246	200	pmt	POLLEX	Four	1,66	False	abvd-abvd-246-281	haa	h aː	89925	faa	1---Four	3	cv
4859	Niuean_247	Niue	Four	niue1239	faa	1500	247	200	niu	POLLEX	four	1,66	False	abvd-abvd-247-272	faa	f aː	71290		1---Four	3	cv
5105	Austral_128	Rurutuan	Four	aust1304	ʔa	1500	128	200	aut	Meyer-128-2005		1,66	False	abvd-abvd-128-272	ʔa	ʔ a	83040	maʔa	1---Four	3	cv
5362	FutunaAniwa_156	Futuna-Aniwa	Four	futu1245	fa	1500	156	200	fut	POLLEX	Four (Cpl)	1,66	False	abvd-abvd-156-310	fa	f a	71304	hfa [fʰa]	1---Four	3	cv
5618	Hawaiian_52	Hawaiian	Four	hawa1245	hā	1500	52	200	haw	71458		1,66	False	abvd-abvd-52-235	hā	h aː	71095		1---Four	3	cv
5854	Rarotongan_58	Rarotongan	Four	raro1241	àa	1500	58	200	rar	POLLEX	Four (Bse)	1,66	False	abvd-abvd-58-343	àa	ʔ a a	71101		1---Four	3	cvv
6156	Penrhyn_235	Penrhyn	Four	penr1237	haa	1500	235	200	pnh	POLLEX	Four	1,66	False	abvd-abvd-235-206	haa	h aː	71278		1---Four	3	cv
6366	Nukuria_1212	Nukeria	Four	nuku1259	haa	1500	1212	200	nur	Davletshin-1212-2015		1,66	False	abvd-abvd-1212-277	haa	h aː	290904		1---Four	3	cv
6627	Samoan_118	Samoan	Four	samo1305	e fā	1500	118	200	smo	Blust-118-2005		1,66	False	abvd-abvd-118-296	e fā	e _ f aː	71161		1---Four	3	v_cv
6918	RennellBellona_206	Rennellese	Four	renn1242	haa	1500	206	200	mnv	POLLEX	Four	1,66	False	abvd-abvd-206-266	haa	h aː	71249		1---Four	3	cv
7182	Tuvalu_753	Nanumea	Four	tuva1244	faa	1500	753	200	tvl	29903		1,66	False	abvd-abvd-753-275	faa	f aː	192219		1---Four	3	cv
7439	Anuta_253	Anuta	Four	anut1237	paa	1500	253	200	aud	POLLEX	Four (Cpl)	1,66	False	abvd-abvd-253-234	paa	p aː	71296		1---Four	3	cv
39	VaeakauTaumako_375	Vaeakau-Taumako	I	pile1238	au	1209	375	182	piv	Hovdhaugen-375-2009		1,21	False	abvd-abvd-375-221	au	a u	123688	iau	1---I	4	vv
276	Wallisian_258	Uvea, East	I	wall1257	koau	1209	258	182	wls	POLLEX		1,21	False	abvd-abvd-258-258	koau	k o + a u	168009		1---I	4	cvvv
529	Polynesian_658	Proto-Polynesian	I	poly1242	*au	1209	658	182		PawleyOC	(indep.)	1,21	False	abvd-abvd-658-203	*au	a u	169858		1---I	4	vv
753	Maori_85	Maori	I	maor1246	au	1209	85	182	mri	Biggs-85-2005		1,21	False	abvd-abvd-85-194	au	a u	64702		1---I	4	vv
972	Kapingamarangi_217	Kapingamarangi	I	kapi1249	au	1209	217	182	kpg	POLLEX	I, me (Lbr)	1,21	False	abvd-abvd-217-241	au	a u	64834		1---I	4	vv
1198	Tahitian_173	Tahitian (Modern)	I	tahi1242	vau	1209	173	182	tah	Clark-173-2005		1, 21, 18	False	abvd-abvd-173-208	vau	v a u	81800		1---I	4	cvv
1199	Tahitian_173	Tahitian (Modern)	I	tahi1242	au	1209	173	182	tah	Clark-173-2005		1,21	False	abvd-abvd-173-207	au	a u	81799		1---I	4	vv
1428	Emae_1030	Emae (Makatea)	I	emae1237	kou	1209	1030	182	mmw	52375		1,21	False	abvd-abvd-1030-162	kou	k + o u	268287		1---I	4	cvv
1622	Rapanui_264	Rapanui (Easter Island)	I	rapa1244	au	1209	264	182	rap	POLLEX		1,21	False	abvd-abvd-264-285	au	a u	133553		1---I	4	vv
1877	Mangareva_239	Mangareva	I	mang1401	au	1209	239	182	mrv	POLLEX		1,21	False	abvd-abvd-239-327	au	a u	321566		1---I	4	vv
2140	Luangiua_238	Luangiua	I	onto1237	aŋau	1209	238	182	ojv	POLLEX	I (Tpe)	1, 22?	False	abvd-abvd-238-197	aŋau	a ŋ a u	118989		1---I	4	vcvv
2360	TongaTongaIslands_136	Tongan	I	tong1325	ou	1209	136	182	ton	117207		1,21	False	abvd-abvd-136-195	ou	o u	81796	au	1---I	4	vv
2578	RakahangaManihiki_589	Manihiki	I	raka1237	koau	1209	589	182	rkh	Clark-589-2008		1,21	False	abvd-abvd-589-274	koau	k o + a u	153372		1---I	4	cvvv
2850	Tikopia_155	Tikopia	I	tiko1237	-ku	1209	155	182	tkp	POLLEX	First person singular (possessive)	x	False	abvd-abvd-155-240	-ku	k u	123652		x---I	1460	cv
2851	Tikopia_155	Tikopia	I	tiko1237	kau	1209	155	182	tkp	POLLEX	First person singular pronoun, short form (Fth)	1,21	False	abvd-abvd-155-239	kau	k + a u	123651	au	1---I	4	cvv
3103	Sikaiana_243	Sikaiana	I	sika1261	n/au/	1209	243	182	sky	POLLEX	I, me B. [<]	1,22	True	abvd-abvd-243-205	au	a u	64860		1---I	4	vv
3324	NorthMarquesan_38	Marquesan	I	nort2845	='u	1209	38	182	mrq	POLLEX	First person singular	x	False	abvd-abvd-38-344	='u	ʔ u	123646		x---I	1460	cv
3325	NorthMarquesan_38	Marquesan	I	nort2845	au	1209	38	182	mrq	POLLEX	First person singular pronoun (Bgs)	1,21	False	abvd-abvd-38-343	au	a u	123645		1---I	4	vv
3622	EastFutuna_210	Futuna, East	I	east2447	-ku	1209	210	182	fud	POLLEX	person singular (Possessive)	x	False	abvd-abvd-210-293	-ku	k u	123677		x---I	1460	cv
3623	EastFutuna_210	Futuna, East	I	east2447	kau	1209	210	182	fud	POLLEX	Phrase internal first person singular pronoun (Bgs)	1,21	False	abvd-abvd-210-292	kau	k + a u	123676	au	1---I	4	cvv
3935	Pukapuka_152	Pukapuka	I	puka1242	aku	1209	152	182	pkp	Salisbury-152-2005	(preverbal)	x	False	abvd-abvd-152-325	aku	a k u	123649	ēku	x---I	1460	vcv
3936	Pukapuka_152	Pukapuka	I	puka1242	au	1209	152	182	pkp	Salisbury-152-2005		1,21	False	abvd-abvd-152-323	au	a u	123647		1---I	4	vv
4228	Mele-Fila_1163	Fila	I	mele1250	aβau	1209	1163	182	mxe	52375		1,21, 18	False	abvd-abvd-1163-160	aβau	a β a u	268297		1---I	4	vcvv
4421	Austral_1213	Ra'ivavae	I	aust1304	vau	1209	1213	182	aut	Tamaititahio-1213-2015		1, 21, 18	False	abvd-abvd-1213-167	vau	v a u	291317		1---I	4	cvv
4609	Tuamotuan_246	Tuamotu	I	tuam1242	-ku	1209	246	182	pmt	POLLEX	First person singular (Possessive)	x	False	abvd-abvd-246-266	-ku	k u	123681		x---I	1460	cv
4610	Tuamotuan_246	Tuamotu	I	tuam1242	au	1209	246	182	pmt	POLLEX	First person singular pronoun (Focus)	1,21	False	abvd-abvd-246-265	au	a u	123680		1---I	4	vv
4879	Niuean_247	Niue	I	niue1239	-ku	1209	247	182	niu	POLLEX	First person singular (Possessive)	x	False	abvd-abvd-247-248	-ku	k u	123684		x---I	1460	cv
4880	Niuean_247	Niue	I	niue1239	kau	1209	247	182	niu	POLLEX	First person singular pronoun	1,21	False	abvd-abvd-247-247	kau	k + a u	123683	au	1---I	4	cvv
5131	Austral_128	Rurutuan	I	aust1304	au	1209	128	182	aut	Meyer-128-2005		1,21	False	abvd-abvd-128-239	au	a u	81790		1---I	4	vv
5132	Austral_128	Rurutuan	I	aust1304	vau	1209	128	182	aut	Meyer-128-2005		1, 21, 18	False	abvd-abvd-128-238	vau	v a u	81789		1---I	4	cvv
5383	FutunaAniwa_156	Futuna-Aniwa	I	futu1245	au	1209	156	182	fut	POLLEX	I,  me (Dty)	1,21	False	abvd-abvd-156-281	au	a u	64878		1---I	4	vv
5384	FutunaAniwa_156	Futuna-Aniwa	I	futu1245	avau	1209	156	182	fut	POLLEX		1, 21, 18	False	abvd-abvd-156-280	avau	a v a u	64773		1---I	4	vcvv
