ID	DOCULECT	DOCULECT_NAME_IN_SOURCE	CONCEPT	GLOTTOCODE	VALUE	CONCEPTICON_ID	LANGID	GLOSSID	ISO	SOURCE	COMMENT	COGNACY	LOAN	LEXIBANK_ID	FORM	SEGMENTS	BVD_ID	VARIANTS	COG	COGID	CVCV
8	VaeakauTaumako_375	Vaeakau-Taumako	Eight	pile1238	valu	1705	375	204	piv	Hovdhaugen-375-2009		3	False	abvd-abvd-375-255	valu	v a l u	89600		3---Eight	663	cvcv
251	Wallisian_258	Uvea, East	Eight	wall1257	valu	1705	258	204	wls	POLLEX	Pollex 06: Valu. :Eight.	3	False	abvd-abvd-258-289	valu	v a l u	90435		3---Eight	663	cvcv
725	Maori_85	Maori	Eight	maor1246	waru	1705	85	204	mri	Biggs-85-2005		3	False	abvd-abvd-85-222	waru	w a r u	87872		3---Eight	663	cvcv
949	Kapingamarangi_217	Kapingamarangi	Eight	kapi1249	walu	1705	217	204	kpg	POLLEX	Pollex 06: Walu. :Eight (Lbr).	3	False	abvd-abvd-217-272	walu	w a l u	90454	waru	3---Eight	663	cvcv
1169	Tahitian_173	Tahitian (Modern)	Eight	tahi1242	va'u	1705	173	204	tah	Clark-173-2005		3	False	abvd-abvd-173-239	va'u	v a ʔ u	102829	varu	3---Eight	663	cvcv
1401	Emae_1030	Emae (Makatea)	Eight	emae1237	βaru	1705	1030	204	mmw	52375		3	False	abvd-abvd-1030-190	βaru	β a r u	265923		3---Eight	663	cvcv
1595	Rapanui_264	Rapanui (Easter Island)	Eight	rapa1244	va'u	1705	264	204	rap	POLLEX		3	False	abvd-abvd-264-317	va'u	v a ʔ u	130627		3---Eight	663	cvcv
1853	Mangareva_239	Mangareva	Eight	mang1401	varu	1705	239	204	mrv	POLLEX		3	False	abvd-abvd-239-362	varu	v a r u	321427		3---Eight	663	cvcv
2114	Luangiua_238	Luangiua	Eight	onto1237	valu	1705	238	204	ojv	POLLEX	Pollex 06: Valu. :Eight.	3	False	abvd-abvd-238-225	valu	v a l u	90541		3---Eight	663	cvcv
2336	TongaTongaIslands_136	Tongan	Eight	tong1325	valu	1705	136	204	ton	117207	Pollex 06: Valu. :Eight.	3	False	abvd-abvd-136-219	valu	v a l u	90658		3---Eight	663	cvcv
2823	Tikopia_155	Tikopia	Eight	tiko1237	varu	1705	155	204	tkp	POLLEX	Pollex 06: Varu. :Eight (Fth).	3	False	abvd-abvd-155-269	varu	v a r u	90636		3---Eight	663	cvcv
3076	Sikaiana_243	Sikaiana	Eight	sika1261	valu	1705	243	204	sky	POLLEX	Pollex 06: Valu. :Eight.	3	False	abvd-abvd-243-235	valu	v a l u	90606		3---Eight	663	cvcv
3297	NorthMarquesan_38	Marquesan	Eight	nort2845	va'u	1705	38	204	mrq	POLLEX	used on Nuku Hiva currently	3	False	abvd-abvd-38-376	va'u	v a ʔ u	128561		3---Eight	663	cvcv
