ID	DOCULECT	CONCEPT	GLOTTOCODE	CONCEPTICON_ID	VALUE	FORM	TOKENS	VARIANTS	SOURCE	COGID	LOAN	COGNACY
6	NorthMarquesan_38	Eight	nort2845	1705	va'u	va'u	v a ʔ u		POLLEX	618	False	3
301	Hawaiian_52	Eight	hawa1245	1705	walu	walu	w a l u		71458	618	False	3
537	Rarotongan_58	Eight	raro1241	1705	varu	varu	v a r u		POLLEX	618	False	3
843	Maori_85	Eight	maor1246	1705	waru	waru	w a r u		Biggs-85-2005	618	False	3
1071	Samoan_118	Eight	samo1305	1705	valu	valu	v a l u		Blust-118-2005	618	False	3
1363	Austral_128	Eight	aust1304	1705	vaʔu	vaʔu	v a ʔ u		Meyer-128-2005	618	False	3
1625	TongaTongaIslands_136	Eight	tong1325	1705	valu	valu	v a l u		117207	618	False	3
1852	Pukapuka_152	Eight	puka1242	1705	valu	valu	v a l u		Salisbury-152-2005	618	False	3
2158	Tikopia_155	Eight	tiko1237	1705	varu	varu	v a r u		POLLEX	618	False	3
2409	FutunaAniwa_156	Eight	futu1245	1705	varu	varu	v a r u		POLLEX	618	False	3
2665	Tahitian_173	Eight	tahi1242	1705	va'u	va'u	v a ʔ u	varu	Clark-173-2005	618	False	3
2900	RennellBellona_206	Eight	renn1242	1705	baŋgu	baŋgu	b a ŋ g u		POLLEX	618	False	3
3163	EastFutuna_210	Eight	east2447	1705	valu	valu	v a l u	valu	POLLEX	618	False	3
3462	Kapingamarangi_217	Eight	kapi1249	1705	walu	walu	w a l u	waru	POLLEX	618	False	3
3677	Penrhyn_235	Eight	penr1237	1705	varu	varu	v a r u		POLLEX	618	False	3
3885	Luangiua_238	Eight	onto1237	1705	valu	valu	v a l u		POLLEX	618	False	3
4107	Mangareva_239	Eight	mang1401	1705	varu	varu	v a r u		POLLEX	618	False	3
4368	Sikaiana_243	Eight	sika1261	1705	valu	valu	v a l u		POLLEX	618	False	3
4588	Tuamotuan_246	Eight	tuam1242	1705	varu	varu	v a r u		POLLEX	618	False	3
4851	Niuean_247	Eight	niue1239	1705	valu	valu	v a l u		POLLEX	618	False	3
5096	Anuta_253	Eight	anut1237	1705	varu	varu	v a r u		POLLEX	618	False	3
5320	Wallisian_258	Eight	wall1257	1705	valu	valu	v a l u		POLLEX	618	False	3
5586	Rapanui_264	Eight	rapa1244	1705	va'u	va'u	v a ʔ u		POLLEX	618	False	3
5845	VaeakauTaumako_375	Eight	pile1238	1705	valu	valu	v a l u		Hovdhaugen-375-2009	618	False	3
6566	Tuvalu_753	Eight	tuva1244	1705	valu	valu	v a l u		29903	618	False	3
6819	Emae_1030	Eight	emae1237	1705	βaru	βaru	β a r u		52375	618	False	3
7009	Mele-Fila_1163	Eight	mele1250	1705	eβaru	eβaru	e β a r u		52375	618	False	3
7202	Nukuria_1212	Eight	nuku1259	1705	varu	varu	v a r u		Davletshin-1212-2015	618	False	3
7462	Austral_1213	Eight	aust1304	1705	vaGu	vaGu	v a ɢ u		Tamaititahio-1213-2015	618	False	3
296	Hawaiian_52	Fifty	hawa1245	1717	kanalima	kanalima	k a n a l i m a		71458	615	False	
533	Rarotongan_58	Fifty	raro1241	1717	rima ngauru	rima ngauru	r i m a _ ŋ a u r u		POLLEX	1	False	1
838	Maori_85	Fifty	maor1246	1717	rima tekau	rima tekau	r i m a _ t e k a u		Biggs-85-2005	1355	False	
1066	Samoan_118	Fifty	samo1305	1717	limagafulu	limagafulu	l i m a g a f u l u		Blust-118-2005	1	False	1
1067	Samoan_118	Fifty	samo1305	1717	limasefulu	limasefulu	l i m a s e f u l u		Blust-118-2005	1	False	1, 7
1359	Austral_128	Fifty	aust1304	1717	pae ʔaʔuru	pae ʔaʔuru	p a e _ ʔ a ʔ u r u		Meyer-128-2005	1383	True	9
1621	TongaTongaIslands_136	Fifty	tong1325	1717	nimangofulu	nimangofulu	n i m a ŋ o f u l u		117207	1	False	1
1844	Pukapuka_152	Fifty	puka1242	1717	tinolima	tinolima	t i n o l i m a		Salisbury-152-2005	434	False	
1845	Pukapuka_152	Fifty	puka1242	1717	laulima	laulima	l a u l i m a		Salisbury-152-2005	280	False	13
1846	Pukapuka_152	Fifty	puka1242	1717	limangaulu	limangaulu	l i m a ŋ a u l u		Salisbury-152-2005	1	True	1
3159	EastFutuna_210	Fifty	east2447	1717	kaulima	kaulima	k a u l i m a		POLLEX	280	False	13
4103	Mangareva_239	Fifty	mang1401	1717	rima rongo'uru	rima rongo'uru	r i m a _ r o ŋ o ʔ u r u		POLLEX	1	False	1
4847	Niuean_247	Fifty	niue1239	1717	lima fiha	lima fiha	l i m a _ f i h a		POLLEX	883	False	
5840	VaeakauTaumako_375	Fifty	pile1238	1717	gatoaelima	gatoaelima	g a t o a e l i m a		Hovdhaugen-375-2009	999	False	
7198	Nukuria_1212	Fifty	nuku1259	1717	tipu rima	tipu rima	t i p u _ r i m a		Davletshin-1212-2015	1233	False	
7458	Austral_1213	Fifty	aust1304	1717	pae ʔahuGu	pae ʔahuGu	p a e _ ʔ a h u ɢ u		Tamaititahio-1213-2015	1383	True	9
9	NorthMarquesan_38	Five	nort2845	493	'ima	'ima	ʔ i m a		POLLEX	2	False	1
304	Hawaiian_52	Five	hawa1245	493	lima	lima	l i m a		71458	2	False	1
540	Rarotongan_58	Five	raro1241	493	rima	rima	r i m a		POLLEX	2	False	1
846	Maori_85	Five	maor1246	493	rima	rima	r i m a		Biggs-85-2005	2	False	1
1074	Samoan_118	Five	samo1305	493	lima	lima	l i m a		Blust-118-2005	2	False	1
1366	Austral_128	Five	aust1304	493	pae	pae	p a e		Meyer-128-2005	1384	True	9
1628	TongaTongaIslands_136	Five	tong1325	493	nima	nima	n i m a		117207	2	False	1
1855	Pukapuka_152	Five	puka1242	493	lima	lima	l i m a		Salisbury-152-2005	2	False	1
2161	Tikopia_155	Five	tiko1237	493	rima	rima	r i m a		POLLEX	2	False	1
2411	FutunaAniwa_156	Five	futu1245	493	rima	rima	r i m a		POLLEX	2	False	1
2668	Tahitian_173	Five	tahi1242	493	pae	pae	p a e		Clark-173-2005	1384	False	9
2669	Tahitian_173	Five	tahi1242	493	rima	rima	r i m a		Clark-173-2005	2	False	1
2903	RennellBellona_206	Five	renn1242	493	gima	gima	g i m a		POLLEX	2	False	1
3166	EastFutuna_210	Five	east2447	493	lima	lima	l i m a		POLLEX	2	False	1
3464	Kapingamarangi_217	Five	kapi1249	493	lima	lima	l i m a	rima	POLLEX	2	False	1
3680	Penrhyn_235	Five	penr1237	493	rima	rima	r i m a		POLLEX	2	False	1
3888	Luangiua_238	Five	onto1237	493	lima	lima	l i m a		POLLEX	2	False	1
4110	Mangareva_239	Five	mang1401	493	rima	rima	r i m a	rima	POLLEX	2	False	1
4371	Sikaiana_243	Five	sika1261	493	lima	lima	l i m a		POLLEX	2	False	1
4591	Tuamotuan_246	Five	tuam1242	493	rima	rima	r i m a		POLLEX	2	False	1
4854	Niuean_247	Five	niue1239	493	lima	lima	l i m a		POLLEX	2	False	1
5099	Anuta_253	Five	anut1237	493	nima	nima	n i m a		POLLEX	2	True	1
5323	Wallisian_258	Five	wall1257	493	nima	nima	n i m a		POLLEX	2	True	1
5589	Rapanui_264	Five	rapa1244	493	rima	rima	r i m a		POLLEX	2	False	1
5848	VaeakauTaumako_375	Five	pile1238	493	lima	lima	l i m a		Hovdhaugen-375-2009	2	False	1
6085	RakahangaManihiki_589	Five	raka1237	493	taapahi	taapahi	t aː p a h i		Clark-589-2008	1447	False	9?
6086	RakahangaManihiki_589	Five	raka1237	493	lima	lima	l i m a		Clark-589-2008	2	False	1
6351	Polynesian_658	Five	poly1242	493	*lima	*lima	l i m a		PawleyOC	2	False	1
6568	Tuvalu_753	Five	tuva1244	493	lima	lima	l i m a		29903	2	False	1
6822	Emae_1030	Five	emae1237	493	rima	rima	r i m a		52375	2	False	1
7012	Mele-Fila_1163	Five	mele1250	493	e-rima	e-rima	e + r i m a		52375	2	False	1
7205	Nukuria_1212	Five	nuku1259	493	rima	rima	r i m a		Davletshin-1212-2015	2	False	1
